customer_id,customer_type,birth_year,birth_month,province,city,district,gender,id
66758234, 개인,1979.0,12.0,경기도,경기도, 평택시,여자,0
66755948, 개인,1982.0,7.0,경기도,경기도, 평택시,남자,1
66756657, 개인,1973.0,4.0,경기도,경기도, 평택시,여자,2
66423450, 개인,1982.0,11.0,경기도,경기도, 포천시,남자,3
66423204, 개인,1961.0,11.0,경기도,경기도, 포천시,남자,4
66165241, 개인,1968.0,7.0,경상도,경상도, 포항시 남구,여자,5
66751017, 개인,1955.0,1.0,경상도,경상도, 포항시 북구,남자,6
66758007, 개인,1959.0,8.0,경상도,경상도, 포항시 북구,여자,7
66756702, 개인,1970.0,9.0,경상도,경상도, 포항시 북구,여자,8
66757254, 개인,1982.0,5.0,경상도,경상도, 포항시 북구,여자,9
66355286, 개인,1986.0,1.0,경상도,경상도, 포항시 북구,여자,10
66757861, 개인,1971.0,9.0,경상도,경상도, 하동군,남자,11
66758085, 개인,1973.0,10.0,경상도,경상도, 함안군,남자,12
66423049, 개인,1962.0,10.0,전라도,전라도, 해남군,여자,13
66190995, 개인,1960.0,3.0,경상도,부산광역시, 해운대구,남자,14
66757035, 개인,1989.0,1.0,경상도,부산광역시, 해운대구,여자,15
66423249, 개인,1934.0,12.0,경상도,부산광역시, 해운대구,여자,16
66755490, 개인,1963.0,1.0,경상도,부산광역시, 해운대구,여자,17
66423230, 개인,1978.0,7.0,경상도,부산광역시, 해운대구,여자,18
66758336, 개인,1949.0,3.0,경상도,부산광역시, 해운대구,남자,19
66758074, 개인,,,충청도,충청도, 홍성군,여자,20
66755833, 개인,1981.0,10.0,충청도,충청도, 홍성군,여자,21
66422938, 개인,1948.0,12.0,강원도,강원도, 홍천군,여자,22
66755125, 개인,1971.0,7.0,경기도,경기도, 화성시,여자,23
66422513, 개인,1973.0,6.0,경기도,경기도, 화성시,여자,24
66419239, 개인,1983.0,9.0,경기도,경기도, 화성시,여자,25
66422449, 개인,1970.0,8.0,경기도,경기도, 가평군,여자,26
